SID,CID,Alts,nest_stand,UniqueID,Use,Early,Sapling,Mature,Thin,FW,SW,Open,Edge,Lon,Lat,age,age3,Dist_to_Ne,next_movem,available_,parent,Forest_Sta,PercCan,TreesIn,Basal_Area,DistEdge,Total,SapHt,ShrubHt,Snags,F__Veg_Den
1,1,1,DR2,DR214614J05,0,-30.09502168,-498.8326167,0,-309.744545,-138.2643155,-488.1589195,-335.3185301,-30.09502168,-75.155899,41.1697006,5,7,17.4,40,97.8,female, ,8.33,0,0,40,100,2,1,0,95
1,1,2,DR2,DR214614J05,0,-50.89835737,-487.7777895,0,-273.8744125,-79.52319828,-543.8002321,-389.0636594,-50.89835737,-75.156601,41.1696014,5,7,17.4,40,97.8,female, ,8.33,0,0,40,100,2,1,0,95
1,1,3,DR2,DR214614J05,0,0,-420.5690653,-32.53281139,-240.7671792,-129.4344273,-541.5929692,-394.685282,-32.53281139,-75.1559982,41.1689987,5,7,17.4,40,97.8,female, ,8.33,0,0,40,100,2,1,0,95
1,1,4,DR2,DR214614J05,0,0,-379.5457926,-87.58426267,-225.0023037,-175.9615033,-547.5011882,-400.1082051,-87.58426267,-75.1556015,41.1685982,5,7,17.4,40,97.8,female, ,8.33,0,0,40,100,2,1,0,95
1,1,5,DR2,DR214614J05,0,0,-421.006711,-7.828247642,-212.9382773,-81.25662434,-581.2350979,-430.7573036,-7.828247642,-75.156601,41.1689987,5,7,17.4,40,97.8,female, ,8.33,0,0,40,100,2,1,0,95
1,1,6,DR2,DR214614J05,0,0,-410.0955045,-46.20709479,-237.7230994,-140.4250155,-542.4738435,-395.8446391,-46.20709479,-75.155899,41.1688995,5,7,17.4,40,97.8,female, ,8.33,0,0,40,100,2,1,0,95
1,1,7,DR2,DR214614J05,0,-14.74899705,-464.5105422,0,-268.268583,-109.8304888,-527.6529752,-375.9079619,-14.74899705,-75.1561966,41.1693993,5,7,17.4,40,97.8,female, ,8.33,0,0,40,100,2,1,0,95
1,1,8,DR2,DR214614J05,0,-1.097955296,-516.6409137,0,-352.2084575,-197.6964709,-433.6627321,-284.0560774,-1.097955296,-75.1551971,41.1697998,5,7,17.4,40,97.8,female, ,8.33,0,0,40,100,2,1,0,95
1,1,9,DR2,DR214614J05,0,0,-420.3812524,-81.71648778,-269.9681802,-205.5195458,-494.1272701,-346.3229102,-81.71648778,-75.155098,41.1688995,5,7,17.4,40,97.8,female, ,8.33,0,0,40,100,2,1,0,95
1,1,10,DR2,DR214614J05,0,0,-411.5291974,-9.310015737,-195.6593901,-72.01888517,-601.1528422,-450.491895,-9.310015737,-75.1567993,41.1688995,5,7,17.4,40,97.8,female, ,8.33,0,0,40,100,2,1,0,95
