"SID","CID","Alts","Use","Lat","Long"
1,1,2,0,41.3007101483367,-77.7597344880022
1,1,3,0,41.3014713415787,-77.7592132501973
1,1,4,0,41.3014567274643,-77.759021061443
1,1,5,0,41.3010303346603,-77.7595801087488
1,1,6,0,41.3018221022704,-77.7594455811999
1,1,7,0,41.3029034266079,-77.7614691607835
1,1,8,0,41.3031116432905,-77.7594567861364
1,1,9,0,41.3014471389756,-77.7617391628634
1,1,10,1,41.30154105,-77.75997247
1,2,1,0,41.3017802844853,-77.7573259090671
1,2,2,0,41.3032230660186,-77.7583413751979
1,2,3,0,41.3024439083799,-77.7553794929419
1,2,4,0,41.3035043205064,-77.7562060500558
1,2,5,0,41.3013647544358,-77.7563087460796
1,2,6,0,41.3016890737116,-77.7573204292526
1,2,7,0,41.3017902382406,-77.7558988984762
1,2,8,0,41.3017995163307,-77.7549497043329
1,2,9,0,41.3016748446111,-77.7568176382709
1,2,10,1,41.30207673,-77.75652217
1,3,1,0,41.3023128018076,-77.7580495582716
1,3,2,0,41.3037569114886,-77.757637231351
1,3,3,0,41.300916325988,-77.7584858367338
1,3,4,0,41.3028462342573,-77.7576713494546
1,3,5,0,41.3016740126371,-77.7580966841541
1,3,6,0,41.3016849713661,-77.7594138077139
1,3,7,0,41.3021901330832,-77.75954223525
1,3,8,0,41.3019530121912,-77.7587473257053
1,3,9,0,41.3033597513921,-77.7576377801321
1,3,10,1,41.3022252,-77.75806408
1,4,1,0,40.8599833898573,-78.071992781355
1,4,2,0,40.8592776418346,-78.0717203713383
1,4,3,0,40.8616223843332,-78.070373488493
1,4,4,0,40.8617600130824,-78.0738709267539
1,4,5,0,40.8619271588598,-78.0723327632576
1,4,6,0,40.8615047475265,-78.0739041781138
1,4,7,0,40.8603114665948,-78.0698472659516
1,4,8,0,40.8604405714606,-78.0700330760262
1,4,9,0,40.8615877427908,-78.0704739864984
1,4,10,1,40.86076725,-78.07211322
1,5,1,0,41.3034625275699,-77.7605783489855
1,5,2,0,41.3031458166248,-77.7580941854104
1,5,3,0,41.3011455382781,-77.7573906997752
1,5,4,0,41.3026925019449,-77.7584520502032
1,5,5,0,41.3020795239286,-77.7608402897953
1,5,6,0,41.3018674542264,-77.7575528499362
1,5,7,0,41.3026425823079,-77.7611668051499
1,5,8,0,41.3036400979559,-77.7593426012758
1,5,9,0,41.3020730676383,-77.757110442841
1,5,10,1,41.30203964,-77.75922609
1,6,1,0,41.3040317547735,-77.7582009177191
1,6,2,0,41.3008918847901,-77.7570009506049
1,6,3,0,41.3030232173502,-77.7568942677904
1,6,4,0,41.3034239872744,-77.7572148273997
1,6,5,0,41.3023700287655,-77.7578764345698
1,6,6,0,41.3022365387353,-77.7559161406421
1,6,7,0,41.302235476718,-77.7577948553584
1,6,8,0,41.3015359009052,-77.7562095076417
1,6,9,0,41.3034573404845,-77.7570150955915
1,6,10,1,41.30241338,-77.75796907
1,7,1,0,41.302845968522,-77.7591666911974
1,7,2,0,41.3015169819304,-77.757895670722
1,7,3,0,41.3015528438941,-77.7575283574707
1,7,4,0,41.3026179043353,-77.7571356680775
1,7,5,0,41.3035375464432,-77.7595854049111
1,7,6,0,41.3027018330487,-77.7573925631858
1,7,7,0,41.3031574393107,-77.7581289627834
1,7,8,0,41.3040335508408,-77.7580591266063
1,7,9,0,41.3018729927311,-77.7576142040835
1,7,10,1,41.30233175,-77.75791918
1,8,1,0,41.3035124436028,-77.7570243774928
1,8,2,0,41.3010408761817,-77.7581352546146
1,8,3,0,41.3007083644402,-77.7584362723347
1,8,4,0,41.3012926027427,-77.757378122304
1,8,5,0,41.3007619112744,-77.7576414966856
1,8,6,0,41.3007846588707,-77.7563405750106
1,8,7,0,41.3022639161144,-77.7602593637916
1,8,8,0,41.3034193546759,-77.7572818438697
1,8,9,0,41.3024437461476,-77.759299810797
1,8,10,1,41.30213435,-77.75788269
1,9,1,0,41.3020040277182,-77.7567878308452
1,9,2,0,41.3016800439076,-77.7603584222367
1,9,3,0,41.300093604435,-77.7597267500941
1,9,4,0,41.3018519474177,-77.7604753006916
1,9,5,0,41.3004211244786,-77.7569203908192
1,9,6,0,41.3004486184286,-77.7581899881871
1,9,7,0,41.2999034728298,-77.7585493038388
1,9,8,0,41.3027130074737,-77.7583911492854
1,9,9,0,41.3028976961004,-77.7584593915925
1,9,10,1,41.30144133,-77.75842966
1,10,1,0,41.3019609421533,-77.7569909530292
1,10,2,0,41.3026720185778,-77.7580542036201
1,10,3,0,41.302825648095,-77.7598613511304
1,10,4,0,41.3024106149161,-77.756409187432
1,10,5,0,41.3021204796852,-77.75793257483
1,10,6,0,41.3004395868842,-77.7572559080187
1,10,7,0,41.3003966003199,-77.7574304215952
1,10,8,0,41.3017520278631,-77.7582496554364
1,10,9,0,41.3016807701085,-77.7597188235664
1,10,10,1,41.30193319,-77.75785678
1,11,1,0,41.3013926804986,-77.7557710768962
1,11,2,0,41.300359325183,-77.757914484129
1,11,3,0,41.3014123500755,-77.7593242513529
1,11,4,0,41.3005962220603,-77.7573698425398
1,11,5,0,41.3006614419434,-77.7594332487919
1,11,6,0,41.3012468853316,-77.7584538678396
1,11,7,0,41.3024656440364,-77.7568504774777
1,11,8,0,41.3002690621007,-77.7565807176041
1,11,9,0,41.3030241209034,-77.7566815625594
1,11,10,1,41.30160873,-77.75776176
1,12,1,0,41.3006012760171,-77.7576237759746
1,12,2,0,41.3023662673185,-77.7598155802049
1,12,3,0,41.3028261347722,-77.7586436657139
1,12,4,0,41.3025221396602,-77.7576444650681
1,12,5,0,41.3029606633158,-77.7595492453848
1,12,6,0,41.3016672893171,-77.7565052156084
1,12,7,0,41.3015898081441,-77.7601629455925
1,12,8,0,41.3031401270533,-77.7583370763182
1,12,9,0,41.3019092992921,-77.7588377351209
1,12,10,1,41.30187479,-77.75793452
1,13,1,0,41.3026592914187,-77.7584145294362
1,13,2,0,41.3035852603236,-77.7601617085017
1,13,3,0,41.3022711554468,-77.7599125330622
1,13,4,0,41.3017922371777,-77.7584590971706
1,13,5,0,41.3023623513866,-77.7588305461389
1,13,6,0,41.30180049422,-77.7594656239731
1,13,7,0,41.3025489267735,-77.7608107164281
1,13,8,0,41.3026487314815,-77.7587299932656
1,13,9,0,41.3006833826089,-77.7593373986411
1,13,10,1,41.30212955,-77.7590977
1,14,1,0,41.3022972433616,-77.7592575928567
1,14,2,0,41.3021233264975,-77.7585129912363
1,14,3,0,41.3007423791812,-77.758846430647
1,14,4,0,41.3026365476035,-77.7584359781217
1,14,5,0,41.3027722703815,-77.759357858505
1,14,6,0,41.3022342846352,-77.7588621297222
1,14,7,0,41.3029249783578,-77.7576911798665
1,14,8,0,41.3006685663674,-77.7592675020281
1,14,9,0,41.3014180536481,-77.7577173442523
1,14,10,1,41.30164118,-77.75797771
1,15,1,0,41.3019015542702,-77.75881517251
1,15,2,0,41.303041293385,-77.758505707734
1,15,3,0,41.3024903426436,-77.758293284515
1,15,4,0,41.3019333324532,-77.7566926233479
1,15,5,0,41.3016741660092,-77.7564693609061
1,15,6,0,41.3026616269049,-77.7563081243513
1,15,7,0,41.300927825559,-77.758462590989
1,15,8,0,41.3007802626373,-77.7578800564575
1,15,9,0,41.3007930534904,-77.7559729419365
1,15,10,1,41.30139459,-77.75792588
1,16,1,0,41.3002603018595,-77.7578226672804
1,16,2,0,41.3002480896577,-77.7570939752228
1,16,3,0,41.2994059540215,-77.758278379348
1,16,4,0,41.3025407795541,-77.7595288472679
1,16,5,0,41.301038223149,-77.7601687549643
1,16,6,0,41.299633098837,-77.757533876359
1,16,7,0,41.3023805081064,-77.7595057371744
1,16,8,0,41.2995690824563,-77.7586899550377
1,16,9,0,41.3016806789647,-77.7582950878359
1,16,10,1,41.30094163,-77.75875478
1,17,1,0,41.3025858622413,-77.7567206551654
1,17,2,0,41.3025033297969,-77.7575340264484
1,17,3,0,41.3003810023726,-77.7565348176536
1,17,4,0,41.3024118798346,-77.7590489084571
1,17,5,0,41.3028320344008,-77.7594802987012
1,17,6,0,41.3011905528227,-77.7589091901525
1,17,7,0,41.3018564544727,-77.7577817224538
1,17,8,0,41.3010632552169,-77.7556861917895
1,17,9,0,41.3009802940979,-77.7589646737271
1,17,10,1,41.30171905,-77.75780495
1,18,1,0,41.3025709292086,-77.759149506882
1,18,2,0,41.3035177481434,-77.7586479320647
1,18,3,0,41.3007450591672,-77.7564710341047
1,18,4,0,41.3018115200213,-77.7570516062448
1,18,5,0,41.3036762367066,-77.7579717108975
1,18,6,0,41.3030332222708,-77.7565627225459
1,18,7,0,41.300724518803,-77.7566414290842
1,18,8,0,41.3028461743201,-77.7574974945099
1,18,9,0,41.3022065172458,-77.7583659662604
1,18,10,1,41.30202404,-77.75791724
1,19,1,0,41.2997763258248,-77.7576858743507
1,19,2,0,41.2991157416887,-77.7566496872422
1,19,3,0,41.3003169810194,-77.7594746505734
1,19,4,0,41.3000852674668,-77.7595851090764
1,19,5,0,41.300163719378,-77.7594746423289
1,19,6,0,41.2999450459637,-77.7578609288513
1,19,7,0,41.3013127761439,-77.7588315368356
1,19,8,0,41.3008943786947,-77.7570099214999
1,19,9,0,41.3001358407414,-77.7563160231467
1,19,10,1,41.30010247,-77.75766805
1,20,1,0,41.3012442531758,-77.7575173247768
1,20,2,0,41.3022901462111,-77.7537963321543
1,20,3,0,41.302933571731,-77.7578449649247
1,20,4,0,41.3023485375884,-77.7554832712603
1,20,5,0,41.3013614139627,-77.7552535864727
1,20,6,0,41.3008527424232,-77.7564250520527
1,20,7,0,41.3031728409712,-77.758272862215
1,20,8,0,41.3032396150764,-77.7546898303485
1,20,9,0,41.3030094283383,-77.7545099216937
1,20,10,1,41.30248102,-77.75614482
1,21,1,0,41.3014092980054,-77.7584333795618
1,21,2,0,41.3014409891016,-77.7597596190366
1,21,3,0,41.3010319562998,-77.7566335430277
1,21,4,0,41.3021875056361,-77.7560553577313
1,21,5,0,41.3009158597368,-77.7571829032114
1,21,6,0,41.3020491994442,-77.7558531260345
1,21,7,0,41.3034282822881,-77.7587224371868
1,21,8,0,41.3016189374767,-77.7597562036804
1,21,9,0,41.3024769359973,-77.7573315788269
1,21,10,1,41.30203701,-77.75804681
1,22,1,0,41.3010433156942,-77.7592528581705
1,22,2,0,41.3010639070694,-77.7592429184589
1,22,3,0,41.3010111936372,-77.7578685745947
1,22,4,0,41.3003496668898,-77.7586790737795
1,22,5,0,41.3022930145856,-77.7577449937386
1,22,6,0,41.302404850238,-77.7570652589519
1,22,7,0,41.3015826572022,-77.757010221223
1,22,8,0,41.3032637347798,-77.7575983750001
1,22,9,0,41.3012250287045,-77.7563921921496
1,22,10,1,41.30205648,-77.75800362
1,23,1,0,41.3028286472622,-77.7576097034298
1,23,2,0,41.3010344711165,-77.7606556568356
1,23,3,0,41.3004183187097,-77.7581654609958
1,23,4,0,41.302824001151,-77.7593396398432
1,23,5,0,41.3020261123992,-77.7567671806087
1,23,6,0,41.2999632508436,-77.7585766781035
1,23,7,0,41.3008348838693,-77.7580827460737
1,23,8,0,41.3015802921891,-77.7601088285281
1,23,9,0,41.3025790788501,-77.7575978129416
1,23,10,1,41.30162644,-77.75906813
1,24,1,0,41.3007499874824,-77.7592076395557
1,24,2,0,41.300848438203,-77.7592221085273
1,24,3,0,41.3033053810965,-77.7596248394113
1,24,4,0,41.3024056042169,-77.7559046482455
1,24,5,0,41.3028574572595,-77.7581434251702
1,24,6,0,41.3017448884928,-77.7600060850261
1,24,7,0,41.3031724811077,-77.7580881891715
1,24,8,0,41.3014646542776,-77.758280374711
1,24,9,0,41.3011314174076,-77.7577617410893
1,24,10,1,41.30227062,-77.75823684
1,25,1,0,41.3039555494721,-77.7559779531224
1,25,2,0,41.3029659430219,-77.7586139652344
1,25,3,0,41.3040743064581,-77.7573173463011
1,25,4,0,41.3020945399461,-77.7585788178573
1,25,5,0,41.3030212691549,-77.7569797776444
1,25,6,0,41.3038551567179,-77.7582032073658
1,25,7,0,41.3018296677931,-77.7566740499326
1,25,8,0,41.3021108978563,-77.755124575099
1,25,9,0,41.3042291336579,-77.7579454952839
1,25,10,1,41.30281414,-77.75701712
1,26,1,0,41.3037266602068,-77.7576190540733
1,26,2,0,41.3027504042416,-77.7567603376532
1,26,3,0,41.3017684535371,-77.7586631407751
1,26,4,0,41.3017791756684,-77.7572474974933
1,26,5,0,41.3010548855148,-77.7569004812986
1,26,6,0,41.3032312331478,-77.7593733659276
1,26,7,0,41.3010374679149,-77.7578918444921
1,26,8,0,41.3013087872221,-77.7569644615017
1,26,9,0,41.3017170932094,-77.7593115742125
1,26,10,1,41.30259508,-77.7580209
1,27,1,0,41.3040613606515,-77.759180972033
1,27,2,0,41.3021239188452,-77.7560880687338
1,27,3,0,41.3018973871939,-77.7572004059535
1,27,4,0,41.3026335418106,-77.7586847205866
1,27,5,0,41.3031721382183,-77.7570562022317
1,27,6,0,41.3021318712803,-77.7569810209753
1,27,7,0,41.3035498547781,-77.7572254905309
1,27,8,0,41.3026896246993,-77.7568307828637
1,27,9,0,41.3035826000391,-77.7572161798049
1,27,10,1,41.3027573,-77.75810727
1,28,1,0,41.3010868981201,-77.7575590468764
1,28,2,0,41.302211507681,-77.7591574333224
1,28,3,0,41.3025490982113,-77.7573059567785
